run,r,alpha,lr,time_min,peak_vram,eval_loss
r8_a8_lr00001,8,8,0.0001,0.29,1.86,10.0101
r8_a8_lr00002,8,8,0.0002,0.27,1.99,5.9832
r8_a16_lr00001,8,16,0.0001,0.25,2.12,7.293
r8_a16_lr00002,8,16,0.0002,0.25,2.25,3.9612
r16_a16_lr00001,16,16,0.0001,0.25,2.4,7.3202
r16_a16_lr00002,16,16,0.0002,0.27,2.53,4.0057
r16_a32_lr00001,16,32,0.0001,0.26,2.68,4.8905
r16_a32_lr00002,16,32,0.0002,0.28,2.79,1.5007
r32_a32_lr00001,32,32,0.0001,0.27,2.97,4.8554
r32_a32_lr00002,32,32,0.0002,0.26,3.1,1.3509
r32_a64_lr00001,32,64,0.0001,0.28,3.23,2.2615
r32_a64_lr00002,32,64,0.0002,0.27,3.37,0.7281
