run,r,alpha,lr,time_min,peak_vram,eval_loss
r8_a8_lr00001,8,8,0.0001,0.36,1.15,2.0881
r8_a8_lr00002,8,8,0.0002,0.37,1.28,2.0331
r8_a16_lr00001,8,16,0.0001,0.4,1.41,2.0544
r8_a16_lr00002,8,16,0.0002,0.37,1.55,1.9744
r16_a16_lr00001,16,16,0.0001,0.37,1.69,2.0546
r16_a16_lr00002,16,16,0.0002,0.39,1.82,1.9732
r16_a32_lr00001,16,32,0.0001,0.37,1.95,2.0029
r16_a32_lr00002,16,32,0.0002,0.38,2.08,1.9026
r32_a32_lr00001,32,32,0.0001,0.39,2.24,2.0027
r32_a32_lr00002,32,32,0.0002,0.37,2.37,1.9028
r32_a64_lr00001,32,64,0.0001,0.36,2.5,1.933
r32_a64_lr00002,32,64,0.0002,0.41,2.63,1.856
